id,title,date,views,text,tags,url
15033,Соединили пышки и квантовую механику: как ИТМО и Яндекс Образование провели научный мини-фестиваль в пяти городах России,2026-09-21T18:24:25+03:00,122.0,"Более четырех тысяч километров, пять городов и 6400 горячих пышек: рассказываем, как прошла « Киберпышечная », большое путешествие ИТМО и Яндекс Образования про науку и профессии будущего. За две с половиной недели брендированный фудтрак посетил Москву, Нижний Новгород, Казань, Екатеринбург и Санкт-Петербург, став точкой притяжения для тех, кто любит думать и вкусно поесть. Подробнее — в материале ITMO NEWS. Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование «Киберпышечная» — совместный проект ИТМО и Яндекс Образования, который объединил популярную науку, современные технологии и городскую культуру. Главным драйвером проекта, угощением для гостей и частью игровой механики стала петербургская пышка. Чтобы получить пышки, а заодно фирменный мерч и другие призы, участники зарабатывали пышкотокены — внутреннюю валюту «Киберпышечной». Их можно было добыть за участие в играх, лекциях и онлайн-активностях, а потом обменять на подарки, в том числе на главный приз — игровую консоль Sony PlayStation 5. Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование В каждом городе рядом с фудтраком разворачивался настоящий мини-фестиваль: с научным квизом «Битва умников», научпоп-лекторием и зоной приемной комиссии ИТМО, где можно было обсудить поступление и пройти тест на профориентацию. А на интерактивных станциях гости пробовали себя в роли инженеров и исследователей: учились управлять пневматическим ручным манипулятором, взламывать разные виды шифров и собирать молекулу по заданной формуле. Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научный мини-фестиваль «Киберпышечная». Фото: ИТМО и Яндекс Образование Научная программа собрала полные площадки во всех городах. Темы лекций помогли говорить о сложных технологиях через понятные и неожиданные сюжеты. Ученые Нового физтеха ИТМО рассказали, когда квантовые компьютеры смогут запускать GTA 6, как наблюдения за движением звезд помогают искать новые частицы, как выжить на Арракисе и зачем ученым нейросети для работы с квантовой механикой. А руководитель лаборатории прикладных агентов ИТМО Егор Спирин разобрал, как языковые модели получают инструменты, знания и навыки для решения задач. О том, как создаются цифровые двойники для рекомендательных систем рассказал Виктор Сергеев, старший разработчик группы внедрения ML-алгоритмов в Яндекс Маркете и преподаватель ШАД. Всего в рамках «Киберпышечной» разыграли шесть консолей: по одной в каждом из пяти городов маршрута и еще одну — среди участников онлайн-активностей. В городах победителя определили по итогам участия в лекциях, «Битве умников» и других играх. Соревнование шло и в онлайн-формате: участники отвечали на вопросы дня на сайте, зарабатывали дополнительные пышкотокены и могли увеличить свои шансы на шестую консоль. Для участия в финальном розыгрыше нужно было опубликовать в социальных сетях видео на тему «С помощью какой технологии я мечтаю изменить мир». Победительницей конкурса стала Елизавета Кочина из Нижнего Новгорода, которая рассказала о применении ИИ в разработке лекарств.",Главное; Геймификация; Фестивали; Яндекс Образование,https://news.itmo.ru/ru/education/cooperation/news/15033/
15018,Эра сверхбыстрых вычислений: в ИТМО появился Институт фотоники,2026-09-15T16:40:38+03:00,1304.0,"В 2026 году в Университете ИТМО появился Институт фотоники. Это проектная площадка, которая объединяет исследовательские команды разных факультетов. Главная цель Института — создание отечественных решений для высокоскоростной обработки и передачи данных, основанных на фотонных технологиях. Об устройстве новой структуры университета и передовых проектах Института в интервью ITMO NEWS рассказал Сергей Макаров — директор Института фотоники, доктор физико-математических наук, главный научный сотрудник и профессор физического факультета. Сергей Макаров. Фото: Дмитрий Григорьев / ITMO NEWS — Почему фотонные технологии сегодня привлекают столько внимания со стороны науки и индустрии? С какой глобальной проблемой мы столкнулись? — В последние годы растут объемы данных и потребность в вычислениях, повышаются требования к скорости передачи информации. Один из ключевых вызовов сегодня — развитие искусственного интеллекта, что в свою очередь требует обработки все больших объемов информации и быстрого обмена ею. Одновременно повышаются требования к энергоэффективности: важно, сколько ресурсов необходимо для выполнения вычисления или передачи данных. В результате увеличивается нагрузка на инфраструктуру, которая обеспечивает работу этих сервисов: сети связи, центры обработки данных, вычислительные системы, энергоснабжение и охлаждение. Ее необходимо развивать, причем рост мощности и пропускной способности должен сопровождаться повышением эффективности. Но здесь возникают две проблемы. Во-первых, в производстве ряда ключевых компонентов инфраструктуры, включая высокопроизводительные чипы, доминируют зарубежные компании, а доступ к их продукции ограничен. Во-вторых, несмотря на скорость обработки информации, эти системы потребляют колоссальное количество энергии. Количество ЦОДов растет лавинообразно, каждому из них требуются мегаватты мощности. Даже в России — энергетической сверхдержаве — инфраструктура сетей уже на пределе: в этом году остановлена почти треть проектов по строительству ЦОД. Из 128 проектов заморожено 38 . А в начале года в Москве рассматривали возможность введения запрета на подключение новых дата-центров. Строить электростанции бесконечно невозможно. Значит, нужно искать иной путь решения проблемы — сделать вычисления принципиально более энергоэффективными за счет фотонных технологий. Эти задачи можно решать разными способами: совершенствовать электронику, архитектуру систем, алгоритмы и программное обеспечение, внедрять новые технологии передачи и обработки сигналов. Одним из перспективных подходов, реализуемых в ИТМО, является фотоника. Фотоника позволяет передавать, преобразовывать и обрабатывать информацию с помощью света. Хорошо знакомый пример — волоконно-оптическая связь. Но возможности фотоники охватывают и компоненты сетевого оборудования, и соединения внутри вычислительных систем, и устройства, способные выполнять отдельные вычислительные операции. Благодаря внедрению фотонных технологий предположительно можно будет как снизить энергопотребление на несколько порядков, так и повысить скорость обработки и передачи информации. — Какой вклад Институт фотоники внесет в создание продуктов на основе наукоемких технологий? — В университете развивается фокусировка «Интегральная и вычислительная фотоника», ориентированная на задачи рынков телекома и датакома. Телеком связан с телекоммуникационными сетями и услугами связи, датаком — с обменом данными в ЦОД и вычислительных системах. Потребности этих рынков определяют задачи развития инфраструктуры передачи и обработки данных: увеличить пропускную способность, повысить энергоэффективность, обеспечить надежность и снизить стоимость эксплуатации. В рамках фокусировки университет объединяет проекты вокруг этих рыночных задач, делая ставку на рынки телекома и датакома. Решить их можно с помощью сочетания разных технологий, инженерных компетенций и фундаментальных знаний: в волоконной и интегральной оптике, оптоэлектронике на основе новых материалов, радиофизике и алгоритмах вычислений. Роль Института в этой работе — экспертиза и проектная кооперация в области фотоники. Он помогает оценивать технологические возможности, научно-техническую обоснованность проектов и их результаты, находить необходимые компетенции и формировать совместные разработки. Институт участвует в тех частях проектов, где нужны фотонные технологии и их сочетание со смежными решениями. Его вклад зависит от конкретной задачи: от экспертной оценки отдельного компонента до помощи в организации междисциплинарной разработки. — В ИТМО уже существует структура, которая занимается оптическими технологиями: научно-образовательный центр фотоники и оптоинформатики. Какие принципиально новые задачи решает Институт фотоники? Чем он отличается от других факультетов университета? Институт фотоники — это в первую очередь матричная проектная межфакультетская площадка. Помимо упомянутого Центра в университете есть также и другие высококвалифицированные коллективы из Высшей Инженерно-технической Школы, Нового Физтеха, и Мегафакультета Компьютерных технологий и Управления, которые проводят передовые исследования, актуальные для задач теледатакома. На данный момент нет единой архитектурной парадигмы по созданию фотонных чипов и вычислителей. Необходимы совместные усилия специалистов из разных областей — физиков, инженеров, математиков. Поэтому Институт объединяет шесть взаимосвязанных направлений: интегральную фотонику, вычислительную фотонику, оптические системы связи, нанофотонику, материалы для фотоники и оптоэлектронику. Это условный тулбокс — блоки одной технологической цепочки, из которых состоит финальный результат. Матричная модель означает, что команды продолжают работать в своих подразделениях и объединяются вокруг конкретных проектов, согласуя вклад и задачи участников. Для них Институт — возможность оперативно найти партнеров и недостающую экспертизу, а для внешних компаний — возможность быстрого поиска партнеров в университете по вопросам фотоники. — Как Институт фотоники изменит образовательный процесс в Университете ИТМО? Для развития новой отрасли, связанной с фотоникой, необходимы специалисты, которые способны обеспечить весь цикл создания новых технологий — от идеи до внедрения. Одни исследуют материалы и физические эффекты, другие проектируют компоненты и системы, разрабатывают технологию изготовления, проводят испытания или отвечают за интеграцию устройства. Каждый должен понимать свой результат и его связь с работой остальных участников. Поэтому Институт будет участвовать в развитии компетентностно-ролевой модели в домене «Фотоника». Вместе с индустриальными партнерами и образовательными командами мы определяем, какие роли востребованы в цепочке создания решений, какие задачи выполняет специалист, какую самостоятельность он должен иметь и за какой результат отвечать. В то же время интеграция передовых научных исследований в образовательные программы дает все основания полагать, что наши выпускники будут востребованы не только сейчас: в будущем они смогут стать основателями абсолютно новой индустрии. — Какую роль бизнес будет играть в развитии Института? — Бизнес формирует запрос на технологии, на основе которого в Институте запускаются проекты и формируются компетенции, актуальные для нынешнего рынка. Мы вовлекаем индустриальных партнеров как в совместную работу над образовательной деятельностью и образом выпускников, так и в проектирование целей и задач развития Института, в том числе через участие в его наблюдательном совете. С одной стороны, в него входят члены академического сообщества — профессора ведущих университетов и члены РАН. С другой — индустриальные партнеры. — Какие конкретные решения уже разрабатываются в университете? — Мы работаем одновременно с несколькими уровнями готовности и горизонтами применения. В одних проектах уже есть опыт изготовления конкретных инженерных изделий. В других — мы разрабатываем новые компоненты и устройства и выстраиваем путь их вывода на рынок. Есть и глубокие технологические разработки — deep tech, — где продуктовый замысел определен, но еще требуется экспериментально проверить новый принцип его работы. Например, коллектив Андрея Куликова в Высшей инженерно-технической школе ИТМО производит для подводных линий связи волоконно-оптические усилители, которые компенсируют ослабление оптического сигнала при передаче по волокну. Другие проекты коллектива связаны с созданием оборудования для изготовления волоконно-оптических компонентов, устройств коррекции сигнала, компонентов когерентных оптических рефлектометров для мониторинга линий связи и оптоэлектронных приемопередатчиков. Все эти решения важны для телекома: они помогают повышать качество и надежность передачи данных на больших расстояниях. Второй пример — новые интегральные устройства для рынка датакома. Мы разрабатываем оптические интерконнекты для ЦОД: устройства для высокоскоростного обмена данными между компонентами вычислительной инфраструктуры. Эти решения должны повысить пропускную способность и снизить энергозатраты на передачу данных. Для их дальнейшей реализации и вывода на рынок мы развиваем кооперацию с крупными заказчиками в формате совместного предприятия — дизайн-центра по интегральной фотонике. Этот формат должен связать университетские исследования и проектирование с инженерной доводкой, изготовлением, испытаниями и коммерческим развитием продуктов. Еще один важный проект в рамках быстрых технологических инициатив реализует команда Алексея Кохановского . Его команда разрабатывает фотонный вычислитель на жидкокристаллических модуляторах. Это вычислительный продукт на стадии создания экспериментального прототипа. Он рассчитан на матричные операции, используемые в нейросетях, и задачи комбинаторной оптимизации; его практические характеристики еще предстоит проверить на задачах индустриальных партнеров. Стенд уже собран, и поступают внешние запросы на разработку новых рабочих прототипов под различные типы задач. — Как фундаментальные исследования связаны с созданием этих продуктов и технологическим лидерством? — Для решения задач телекома и датакома мы делаем ставку в том числе на новые сегменты рынка фотонных решений. В области интегральных устройств для обмена данными и фотонных вычислителей еще формируются архитектуры, технологические подходы и продуктовые предложения. Мы видим здесь возможность для российских команд создавать собственные решения и занимать ведущие позиции в отдельных направлениях. Поэтому передовые фундаментальные исследования — необходимая часть нашей стратегии. Они дают новые свойства материалов и принципы работы устройств, на основе которых можно создавать оригинальные технологии с конкурентоспособными характеристиками. Возможность предлагать такие технологии напрямую зависит от уровня научной экспертизы. Среди результатов этого года — работа команды Дмитрия Жирихина в области топологической фотоники. Эта работа открывает путь к принципиально новым дизайнам фотонных чипов и способам управления распространением света в них во всех направлениях. Результаты опубликованы в престижном журнале Nature Materials. Дмитрий Жирихин. Фото: Дмитрий Григорьев / ITMO NEWS Также выделяется амбициозный проект команды Василия Кравцова . Они развивают технологии, связанные с применением двумерных материалов для фотонных интегральных схем. Для нас здесь важна перспектива создания сверхкомпактных и высокоскоростных оптических модуляторов — элементов, которые управляют оптическим сигналом и позволяют кодировать в нем информацию. Результаты работы также опубликованы в Nature Materials. Василий Кравцов. Фото: Дмитрий Григорьев / ITMO NEWS — Какое будущее Института вы видите через 5-10-15 лет? — Мы видим Институт как платформу для внутренней эффективной кооперации между различными подразделениями, работающими в области передовой фотоники. Институт помогает формировать единую научную повестку, синхронизировать прикладные проекты и развивать актуальные образовательные программы под запрос индустрии. Для нас важно, чтобы путь от идеи до проверяемого решения становился понятнее. Чтобы команда могла найти необходимую экспертизу, оборудование и индустриального партнера, а тот, в свою очередь, — сформулировать задачу и организовать работу с университетом. Чтобы научные результаты находили продолжение в новых устройствах, а опыт разработки возвращался в исследования и образование.",Фотоника; Главное; Фотонные технологии; ГлавноеBottom; Передовые технологии,https://news.itmo.ru/ru/science/photonics/news/15018/
15003,Олимпиадный год: итоги самой масштабной приемной кампании в ИТМО,2026-09-01T19:18:10+03:00,7971.0,"В ИТМО опубликованы все приказы о зачислении в бакалавриат , магистратуру и аспирантуру . Интерес к программам университета стабильно растет: количество заявлений в бакалавриат увеличилось в полтора раза по сравнению с прошлым годом, а число абитуриентов в магистратуру выросло более чем на 30%. Также приемная кампания 2026 года стала для ИТМО рекордной по количеству зачисленных победителей и призеров олимпиад: этот показатель стал самым высоким в Петербурге и одним из лучших в России. Подробнее об итогах рассказываем в материале. Приемная кампания 2026 в ИТМО. Фото: Дмитрий Григорьев / ITMO NEWS Бакалавриат В 2026 году в ИТМО на бюджетную основу зачислили 1635 человек. Всего в этом году документы подали 12 279 абитуриентов — на 4 тысячи больше по сравнению с прошлым годом. Еще значительнее выросло количество заявлений: если в 2025 году в приемной комиссии приняли 21 тысячу заявлений, то в 2026-м ― уже 32 800, и это рекордный показатель для ИТМО за всю историю приемных кампаний. Растет и средний балл поступающих. В этом году он составил 96,3 — это на 2,1 балла выше, чем годом ранее. Интерес к ИТМО проявляют школьники не только из Петербурга, но и других регионов страны. Причем всё чаще в петербургский вуз подают заявления абитуриенты из Москвы: если в прошлом году число абитуриентов из столичного региона и области составило 9% от общего количества заявлений, то в этом ― 11%. Также в топе регионов ― Республика Башкортостан, Свердловская область, Краснодарский край и Республика Татарстан. Без вступительных испытаний в ИТМО прошли 875 победителей и призеров школьных олимпиад. Это личный рекорд для университета, самый высокий показатель в Петербурге и один из лучших по России. Обучаться на платной основе в ИТМО будет 1457 человек ― это на 209 больше, чем в 2025-м. Приемная кампания 2026 в ИТМО. Фото: Дмитрий Григорьев / ITMO NEWS Самыми популярными у абитуриентов бакалавриата традиционно остаются направления, связанные с информационными технологиями и искусственным интеллектом. Их в этом году выбрали 1046 человек, и на этих же программах сохраняются самые высокие проходные баллы. В то же время в приемной кампании фиксируют и рост интереса к инженерным и естественнонаучным специальностям: так, на направлении подготовки « Химия » проходной балл составил 310, на « Физик е» — 301, на программе « Биотехнические системы и технологии » — 287, а на « Технической физике » — 281. Добавим, что в этом году абитуриенты могли выбирать среди 27 бакалаврских программ по пяти направлениям: физика, информационные технологии, экономика и инновации, инженерия, науки о жизни. Многие из них реализуются при поддержке ведущих технологических компаний (Яндекса, Сбера, VK, Авито и других), а также включают практику в компаниях, стажировки с возможностью трудоустройства и специальные стипендии для студентов. Посмотреть все программы, учебные планы и актуальные проходные баллы можно на сайте для абитуриентов ИТМО . Магистратура В этом году на бюджет в магистратуру ИТМО зачислили 2797 человек, а обучаться на платной основе будут 1050 студентов ― на 310 больше, чем в прошлом году. Всего в приемную комиссию подали документы 9936 абитуриентов, желающих учиться на магистерских программах. По сравнению с прошлым годом, число абитуриентов выросло на 33%. В магистратуру ИТМО поступают со всей России ― больше всего заявлений в этом году отправили абитуриенты из Москвы, Татарстана и Новосибирской области. В ИТМО можно пройти не только по вступительным экзаменам, но и по результатам конкурсов и олимпиад ― например, по конкурсу «Портфолио», по итогам Мегаолимпиады и Мегашколы, Всероссийской олимпиады «Я ― профессионал». В 2026-м этими опциями воспользовались 606 абитуриентов. Например, по результатам олимпиады «Я ― профессионал» в ИТМО поступили 243 человека. По Мегаконкурсу ― 363, а по Портфолио ― 1131. Приемная кампания 2026 в ИТМО. Фото: Дмитрий Григорьев / ITMO NEWS В этом году абитуриенты выбирали из 80 программ магистратуры ИТМО. Они охватывают 13 укрупненных направлений, в том числе искусственный интеллект, информационная безопасность, робототехника, биотехнологии и другие. Большую часть магистратур поддерживают крупные индустриальные партнеры — Яндекс, Альфа-Банк, Сбер, VK, Napoleon IT, Positive Technologies, YADRO, «Газпром нефть», «Татнефть», BIOCAD и другие. Такой подход позволяет студентам учиться напрямую у экспертов индустрии, получать актуальные навыки и оттачивать их на реальных бизнес-кейсах, проходить стажировки и еще во время учебы устраиваться на работу. Самыми востребованными у абитуриентов в этом году стали программы «Управление высокотехнологичным бизнесом», «Искусственный интеллект» и «Молекулярная биология и биотехнология». Все программы магистратуры и другие возможности для магистрантов ИТМО смотрите на сайте для абитуриентов ИТМО . Аспирантура Всего в аспирантуру ИТМО подали документы 1274 молодых ученых. В 2026-м конкурс составил 3,27 заявления на место. На бюджетные места зачислили 254 аспиранта, а на контрактные — 57. Аспирантура ИТМО остается популярной и среди исследователей из-за рубежа: в этом году заявки на обучение подали кандидаты из 33 государств. Всего в аспирантуру ИТМО поступили ученые из 18 стран, в том числе из Болгарии, Китая, Эквадора и Буркина-Фасо . Учиться в аспирантуре ИТМО можно на 46 научных специальностях по 13 направлениям: информационные технологии и телекоммуникации, компьютерные науки, физические науки, биотехнологии, химические технологии, науки о материалах и другие. В ИТМО действуют 15 собственных диссертационных советов по 37 научным специальностям и единственная в России полностью цифровая система процедуры защиты диссертаций. Почти на каждой специальности есть два трека на выбор — индустриальный и научный. Приемная кампания 2026 в ИТМО. Фото: Дмитрий Григорьев / ITMO NEWS Больше всего заявлений абитуриенты подали на следующие группы специальностей: «1.5 Биологические науки» (7,2 заявлений на место), «2.3 Информационные технологии и телекоммуникации» (5,0 заявлений на место), «1.2 Компьютерные науки и информатика» (4,1 заявлений на место). Узнать подробнее о программах аспирантуры можно на сайте .",Магистратура; Бакалавриат; Аспирантура; Главное; Приемная кампания; ГлавноеMain1; ГлавноеTop,https://news.itmo.ru/ru/education/official/news/15003/
15001,ITMO CONF 2026: как идеи проходят путь от лаборатории к рынку,2026-08-31T18:44:11+03:00,5976.0,"Трансформация научной идеи в работающий продукт схожа с процессом создания музыки — из маленькой мелодии может вырасти настоящее произведение искусства, но этот путь никогда не бывает простым. ITMO CONF в этом году был посвящен именно этому — как, нота за нотой, выстраивать продуктовую логику, как выводить разработки за пределы лабораторий, находить им применение в индустрии и привлекать инвестиции. Под аккомпанемент симфонического оркестра ученые ИТМО поделились историями своих проектов: от первых экспериментов и гипотез до выхода в бизнес. Специальным гостем мероприятия стал врач и нейробиолог Владимир Алипов, который объяснил, как мозг предсказывает будущее и почему это напрямую связано с созданием продуктов. Главные тезисы конференции собрали в материале ITMO NEWS. ITMO CONF 2026. Фото: Дмитрий Григорьев / ITMO NEWS Курс на технологическую корпорацию Открывая конференцию, директор по стратегическому развитию ИТМО Дарья Козлова рассказала, какой путь университет прошел за последние четыре года. ИТМО взял курс на технологическую корпорацию и поставил цель — выходить на рынок с собственными технологиями и продуктами. Параллельно Первый неклассический решал непривычные для других вузов задачи: как вести работу вне стен университета, определять долю ИТМО в новых компаниях и управлять интеллектуальной собственностью. «Мы переходили от коротких разовых контрактов к длительному взаимодействию с индустрией, искали win-win модель в части инвестиций в прикладные исследования и разработки. Сегодня на ITMO CONF мы говорим уже не о планах, а о результатах. Если говорить на языке индустрии, это релизы наших проектов и продуктов», — подчеркнула Дарья Козлова. Дарья Козлова. Фото: Дмитрий Григорьев / ITMO NEWS С нового учебного года ИТМО запускает несколько образовательных ИИ-продуктов. Среди них — курс для первокурсников «Как учиться в партнерстве с искусственным интеллектом» , в котором студенты с преподавателями обговорят границы применения ИИ и научатся создавать ассистентов для рутинных задач, и курс «Этика в области искусственного интеллекта» . Также для студентов и сотрудников ИТМО теперь доступен ИИ-ассистент, который заберет на себя часть сервисных и справочных функций. А еще ИТМО совместно с МШУ «Сколково» запускает программу для руководителей бизнеса по ИИ-трансформации компаний, а также открывает два центра инженерных разработок — в области биотехнологий с «Татнефтью» и в области инфохимии с «Сибуром». Путь команд: от гипотез к рыночному продукту Иногда продукт появляется не из одной идеи, а из опыта, который накапливается с годами. Команда доцента факультета технологий искусственного интеллекта ИТМО и СТО компании «Эмерджентные мультиагентные системы» Дениса Насонова за 20 лет выполнила более 30 проектов с 13 партнерами — среди них ПАО «Газпром нефть», Татнефть, Siemens и Яндекс. Каждый проект давал технологическую базу, которая позволяла не начинать с нуля, команду, готовую нести ответственность за результат, промышленный опыт внедрения и прикладные исследования. Из этого накопленного опыта и сложилась платформа «ЦЕХ», которая проводит бизнес-идею через все этапы — от спецификации до готового программного продукта, встроенного в инфраструктуру компании. ИТМО в этой истории сыграл особую роль: позволил увидеть задачу раньше рынка. «Университет позволяет увидеть интересную задачу раньше рынка благодаря академической насмотренности, компетенциям и накопленным знаниям. Однако важно, чтобы подобные идеи всегда доходили до чего-то, что можно пощупать и внедрить. Секрет здесь кроется в резонансе четырех главных составляющих: лаборатории с накопленным багажом активов, бизнес-развитии, продуктовом партнере и команде. Работая в наших лабораториях и выполняя проекты для партнеров, волей-неволей мы реализуем ту же логику, что и основатели-предприниматели: каждый проект может дать потенциал на дальнейшее развитие, тиражирование и масштабирование. Важно об этом помнить и создавать свои собственные активы» , — объяснил Денис Насонов. Денис Насонов. Фото: Дмитрий Григорьев / ITMO NEWS Индустриальные партнеры ждут понятного коммерческого результата в горизонте двух-трех лет, а не в отдаленной перспективе. Поэтому важно выбирать направления, которые востребованы рынком. Так, директор Центра проектирования устройств интегральной фотоники ИТМО Эдуард Самсонов и технический директор центра Федор Киселев отметили, что интегральная фотоника — область, объединяющая оптику и микроэлектронику, — по прогнозам маркетинговых агентств, к 2035 году займет до 85% рынка центров обработки данных. «Мы сфокусировались на оптическом коммутаторе — устройстве, которое маршрутизирует потоки данных внутри дата-центра без использования дорогостоящих и энергозатратных электронных процессоров. Мы думали, что после всей этой работы будет следующий максимально понятный шаг — этап разработки устройства. Но был небольшой нюанс: все это случилось с нами полтора года назад. Мы чувствовали себя в некотором смысле гармоническим осциллятором: то приближались, то отдалялись от сделки. За все это время мы поняли, что на самом деле работа над проектом начинается не с этапа получения инвестиций. Она начинается гораздо раньше» , — добавил Эдуард Самсонов. Эдуард Самсонов и Федор Киселев. Фото: Дмитрий Григорьев / ITMO NEWS Начинать работать над продуктом можно и без видения конечного устройства: отсутствие готовых решений в начале — это пространство для выдвижения гипотез. Командам важно пробовать много нового и не забрасывать идеи, даже если сейчас им не находится применения в индустрии, рассказал директор НОЦ радиофизики и ведущий научный сотрудник Нового физтеха ИТМО Станислав Глыбовский . Его команда занималась метаматериалами и искала новые структуры с необычными электромагнитными свойствами. В какой-то момент у исследователей появилась идея создать метаатом необычной формы — исследователи вдохновились логотипом Chanel. Такая структура позволяла пропускать волну без отражения и придавать ей нужный угол распространения на выходе — то есть управлять направлением сигнала без потерь. Станислав Глыбовский. Фото: Дмитрий Григорьев / ITMO NEWS Из этих метаатомов аспирант ИТМО Андрей Саянский в своей диссертации разработал метаповерхность, которая подтвердила электромагнитные свойства в эксперименте. Но практического применения ей долго не находилось. Идею не выбросили — и спустя время она пригодилась для задачи спутниковой связи: антеннам терминалов нужны были ровно те свойства, которые давала метаповерхность. Устройство пришлось доработать, но исходная концепция осталась той же. Иногда партнеры приходят не с готовыми задачами — так было у команды заместителя декана факультета систем управления и робототехники ИТМО Алексея Ведякова . У партнера было понимание продукта, но что именно нужно сделать, предстояло понять вместе. Такие проекты быстро становятся масштабнее, чем планировалось: в процессе работы появляются новые гипотезы, уточняются требования и изначальный объем задач увеличивается в несколько раз — например, с трех технических заданий до шести, с десяти единиц оборудования до сорока. Выступление Алексея Ведякова. Фото: Дмитрий Григорьев / ITMO NEWS В такой ситуации команда пошла не по пути упрощения проекта, а наоборот — собрала под каждую задачу отдельное направление: управление, техническое зрение и разработку оборудования. Сейчас в проекте занято больше 100 исследователей, большинство из которых — студенты бакалавриата. В таком формате работы у команд нет четкого технического задания с понятными требованиями — они рождаются в процессе. Зачастую направление работы одной группы зависит от того, что делается в соседней, и наоборот. Нейробиология продуктового решения Владимир Алипов. Фото: Дмитрий Григорьев / ITMO NEWS Завершил ITMO CONF 2026 врач, нейробиолог и популяризатор науки Владимир Алипов . В своем выступлении он предложил необычный взгляд на тему продуктовой логики: через музыку и работу мозга. Ученый объяснил, что мозг постоянно строит предположения о будущем — в том числе когда мы слушаем музыку. Мы предугадываем, какая нота прозвучит следующей, и реагируем на расхождения с прогнозом. Именно в этом разрыве между ожиданием и реальностью рождаются удивление, напряжение и удовольствие. В создании продукта работает тот же механизм: многое начинается с гипотезы о том, что будет дальше, а после ее проверяют в реальности. ITMO CONF 2026. Фото: Дмитрий Григорьев / ITMO NEWS ITMO CONF 2026. Фото: Дмитрий Григорьев / ITMO NEWS ITMO CONF 2026. Фото: Дмитрий Григорьев / ITMO NEWS Сегодня в ИТМО работает более 30 лабораторий по разным направлениям — от фотоники и робототехники до искусственного интеллекта и радиофизики. Они активно сотрудничают с индустрией: за разработками к исследователям приходят крупные заказчики — в том числе Сбер, Яндекс, «Газпром нефть», Arrival Robotics и другие компании. Стать частью команд могут в том числе студенты бакалавриата: совмещать учебу с реальными проектами, закрывать практику, разрабатывать решения для индустрии и получать за это достойную зарплату. О работе таких команд можно прочитать в материале про научную группу Владислава Громова , которая учит роботов работать без интернета и без человека, и о лаборатории « Воплощенного интеллекта и робототехники », где машинам дают зрение и способность действовать без оператора. А все главные достижения, вызовы и цифры прошедшего учебного года собрали в новом выпуске «ИТМОГИ» . Фото: пресс-служба ИТМО",Главное; Будущее образования; ГлавноеBottom; ИТМОГИ; ITMO CONF,https://news.itmo.ru/ru/education/trend/news/15001/
